Designator,Mid X,Mid Y,Rotation,Layer
D924,-47.5,0.0,270.0,top
D925,-49.5,0.0,270.0,top
D926,-51.5,0.0,270.0,top
D927,-53.5,0.0,270.0,top
D928,-55.5,0.0,270.0,top
J301,-25.156,34.24,225.0,top
J302,-8.25,-54.795,0.0,top
J401,8.25,-54.795,0.0,top
L201,-30.92,-34.98,90.0,top
L202,0.0,0.0,0.0,top
L203,30.92,-34.98,90.0,top
L301,2.6,50.0,270.0,top
L302,1.27,50.0,90.0,top
R201,-18.44,-37.39,90.0,top
R202,-19.525,-39.17,0.0,top
R203,-22.105,-39.43,0.0,top
R204,18.44,-37.39,270.0,top
R205,19.525,-39.17,180.0,top
R206,22.105,-39.43,180.0,top
R301,-23.57,31.44,180.0,top
R302,5.76,45.14,180.0,top
R303,1.45,28.85,180.0,top
R304,-9.0,40.94,0.0,top
R305,-2.56,37.19,90.0,top
R306,-1.54,37.19,90.0,top
R307,-0.1,37.2,90.0,top
R308,0.93,37.21,90.0,top
R309,1.95,37.21,90.0,top
R310,4.81,42.89,270.0,top
R311,-9.19,-49.01,90.0,top
R312,-6.86,-49.31,0.0,top
R401,7.14,-49.0,90.0,top
R402,9.19,-49.01,90.0,top
R403,7.02,-35.13,270.0,top
R404,1.12,-32.12,270.0,top
R405,2.13,-32.12,270.0,top
R406,0.23,-43.86,90.0,top
R407,-3.57,-23.73,0.0,top
R408,-1.2,-23.72,0.0,top
R409,-0.51,-50.75,0.0,top
R501,14.9,8.76,0.0,top
R502,13.37,8.06,270.0,top
R503,49.54,-15.43,0.0,top
R504,12.28,8.07,270.0,top
R505,49.54,-16.5,0.0,top
R506,11.21,8.07,270.0,top
R507,49.54,-17.56,0.0,top
R508,13.75,22.14,0.0,top
R509,39.22,7.88,270.0,top
R510,37.58,8.6,180.0,top
R511,37.59,9.68,180.0,top
R601,15.53,-9.21,180.0,top
R602,-14.17,-8.15,90.0,top
R603,15.54,-8.15,180.0,top
R604,-13.04,-8.15,90.0,top
R605,17.91,-9.16,0.0,top
R606,-11.93,-8.15,90.0,top
R701,-49.02,16.32,180.0,top
R702,-41.55,-9.06,180.0,top
R703,-49.01,17.43,180.0,top
R704,-38.77,-7.86,0.0,top
R705,-47.85,18.98,0.0,top
R706,-38.77,-8.98,0.0,top
